Epoch 071/10000, train MSE = 0.185057, val MSE = 0.181621, val RMSE = 0.426170, val MAE = 0.273993, avg grad norm = 9.325791, clip fraction = 0.9957, epsilon = 33.2156, delta = 1e-05
Epoch 072/10000, train MSE = 0.184914, val MSE = 0.181486, val RMSE = 0.426011, val MAE = 0.273675, avg grad norm = 9.326486, clip fraction = 0.9951, epsilon = 33.5025, delta = 1e-05
Epoch 073/10000, train MSE = 0.184689, val MSE = 0.181247, val RMSE = 0.425732, val MAE = 0.273628, avg grad norm = 9.277963, clip fraction = 0.9959, epsilon = 33.7894, delta = 1e-05
Epoch 074/10000, train MSE = 0.184574, val MSE = 0.181001, val RMSE = 0.425442, val MAE = 0.273529, avg grad norm = 9.262134, clip fraction = 0.9957, epsilon = 34.0763, delta = 1e-05
Epoch 075/10000, train MSE = 0.184673, val MSE = 0.181016, val RMSE = 0.425460, val MAE = 0.273331, avg grad norm = 9.326611, clip fraction = 0.9957, epsilon = 34.3632, delta = 1e-05
Epoch 076/10000, train MSE = 0.184580, val MSE = 0.180863, val RMSE = 0.425280, val MAE = 0.273306, avg grad norm = 9.299369, clip fraction = 0.9951, epsilon = 34.6501, delta = 1e-05
Epoch 077/10000, train MSE = 0.184590, val MSE = 0.180782, val RMSE = 0.425184, val MAE = 0.273063, avg grad norm = 9.303230, clip fraction = 0.9963, epsilon = 34.9370, delta = 1e-05
Epoch 078/10000, train MSE = 0.184717, val MSE = 0.180818, val RMSE = 0.425227, val MAE = 0.273031, avg grad norm = 9.295773, clip fraction = 0.9963, epsilon = 35.2239, delta = 1e-05
Epoch 079/10000, train MSE = 0.184725, val MSE = 0.180928, val RMSE = 0.425357, val MAE = 0.273293, avg grad norm = 9.288764, clip fraction = 0.9951, epsilon = 35.5108, delta = 1e-05
Epoch 080/10000, train MSE = 0.184761, val MSE = 0.180939, val RMSE = 0.425369, val MAE = 0.273350, avg grad norm = 9.298959, clip fraction = 0.9959, epsilon = 35.7977, delta = 1e-05
Epoch 081/10000, train MSE = 0.184737, val MSE = 0.180959, val RMSE = 0.425392, val MAE = 0.273529, avg grad norm = 9.304200, clip fraction = 0.9949, epsilon = 36.0846, delta = 1e-05
Epoch 082/10000, train MSE = 0.184682, val MSE = 0.180977, val RMSE = 0.425414, val MAE = 0.273603, avg grad norm = 9.291002, clip fraction = 0.9959, epsilon = 36.3715, delta = 1e-05
Epoch 083/10000, train MSE = 0.184709, val MSE = 0.181002, val RMSE = 0.425443, val MAE = 0.273529, avg grad norm = 9.272022, clip fraction = 0.9959, epsilon = 36.6584, delta = 1e-05
Epoch 084/10000, train MSE = 0.184687, val MSE = 0.181088, val RMSE = 0.425545, val MAE = 0.273300, avg grad norm = 9.236463, clip fraction = 0.9955, epsilon = 36.9453, delta = 1e-05
Epoch 085/10000, train MSE = 0.184490, val MSE = 0.180996, val RMSE = 0.425436, val MAE = 0.273829, avg grad norm = 9.166558, clip fraction = 0.9963, epsilon = 37.2322, delta = 1e-05
Epoch 086/10000, train MSE = 0.184607, val MSE = 0.180977, val RMSE = 0.425414, val MAE = 0.273691, avg grad norm = 9.182156, clip fraction = 0.9955, epsilon = 37.5191, delta = 1e-05
Epoch 087/10000, train MSE = 0.184561, val MSE = 0.181051, val RMSE = 0.425501, val MAE = 0.274029, avg grad norm = 9.145182, clip fraction = 0.9947, epsilon = 37.7904, delta = 1e-05
Epoch 088/10000, train MSE = 0.184435, val MSE = 0.180952, val RMSE = 0.425385, val MAE = 0.273739, avg grad norm = 9.116576, clip fraction = 0.9953, epsilon = 38.0546, delta = 1e-05
Epoch 089/10000, train MSE = 0.184315, val MSE = 0.180817, val RMSE = 0.425226, val MAE = 0.273497, avg grad norm = 9.075842, clip fraction = 0.9949, epsilon = 38.3189, delta = 1e-05
Epoch 090/10000, train MSE = 0.184315, val MSE = 0.180754, val RMSE = 0.425152, val MAE = 0.273312, avg grad norm = 9.056345, clip fraction = 0.9957, epsilon = 38.5831, delta = 1e-05
Epoch 091/10000, train MSE = 0.184263, val MSE = 0.180622, val RMSE = 0.424996, val MAE = 0.273471, avg grad norm = 9.062628, clip fraction = 0.9951, epsilon = 38.8473, delta = 1e-05
Epoch 092/10000, train MSE = 0.184207, val MSE = 0.180474, val RMSE = 0.424822, val MAE = 0.273380, avg grad norm = 9.056176, clip fraction = 0.9949, epsilon = 39.1116, delta = 1e-05
Epoch 093/10000, train MSE = 0.184254, val MSE = 0.180369, val RMSE = 0.424699, val MAE = 0.273264, avg grad norm = 9.051724, clip fraction = 0.9965, epsilon = 39.3758, delta = 1e-05
Epoch 094/10000, train MSE = 0.184350, val MSE = 0.180451, val RMSE = 0.424795, val MAE = 0.273066, avg grad norm = 9.054924, clip fraction = 0.9969, epsilon = 39.6400, delta = 1e-05
Epoch 095/10000, train MSE = 0.184535, val MSE = 0.180613, val RMSE = 0.424986, val MAE = 0.273226, avg grad norm = 9.071808, clip fraction = 0.9947, epsilon = 39.9043, delta = 1e-05
Epoch 096/10000, train MSE = 0.184343, val MSE = 0.180562, val RMSE = 0.424926, val MAE = 0.273479, avg grad norm = 9.015617, clip fraction = 0.9949, epsilon = 40.1685, delta = 1e-05
Epoch 097/10000, train MSE = 0.184438, val MSE = 0.180705, val RMSE = 0.425095, val MAE = 0.273426, avg grad norm = 9.036597, clip fraction = 0.9959, epsilon = 40.4328, delta = 1e-05
Epoch 098/10000, train MSE = 0.184481, val MSE = 0.180810, val RMSE = 0.425217, val MAE = 0.273504, avg grad norm = 9.014349, clip fraction = 0.9959, epsilon = 40.6970, delta = 1e-05
Epoch 099/10000, train MSE = 0.184351, val MSE = 0.180748, val RMSE = 0.425144, val MAE = 0.273843, avg grad norm = 8.991988, clip fraction = 0.9957, epsilon = 40.9612, delta = 1e-05
Epoch 100/10000, train MSE = 0.184435, val MSE = 0.180840, val RMSE = 0.425253, val MAE = 0.273680, avg grad norm = 9.016760, clip fraction = 0.9957, epsilon = 41.2255, delta = 1e-05
Epoch 101/10000, train MSE = 0.184430, val MSE = 0.180967, val RMSE = 0.425402, val MAE = 0.273605, avg grad norm = 9.035751, clip fraction = 0.9951, epsilon = 41.4897, delta = 1e-05
